key,width,height,avg_r,sd_r,avg_g,sd_g,avg_b,sd_b
LS21323_DJI_0003_clump_0010,128,188,133.84375,24.534872344022904,143.5035460992908,14.691085787292135,132.8736286569149,33.79015950961526
LS21323_DJI_0003_clump_0011,128,296,128.05208333333334,14.813858792576257,148.39864864864865,16.47838053938786,132.4472392314189,27.078054469789116
LS21323_DJI_0003_clump_0012,230,386,123.82608695652173,22.645891921493725,140.89982728842833,33.81178704202651,138.59629421040776,31.209839213973126
LS21323_DJI_0003_clump_0013,180,222,126.62962962962963,9.801731321550434,119.17117117117117,12.287257889218647,123.54697197197197,19.05544425606528
LS21323_DJI_0003_clump_0014,230,170,149.49710144927536,10.1659059494133,156.64117647058825,8.650210843414444,142.4675191815857,30.819454342481503
LS21323_DJI_0003_clump_0015,144,216,155.1273148148148,15.46351722642694,143.9212962962963,26.358432310651015,140.9143840020576,30.933920535642148
LS21323_DJI_0003_clump_0016,136,272,115.32598039215686,10.81684015327842,103.51102941176471,18.464522843612077,118.36618728373702,29.386795295771574
LS21323_DJI_0003_clump_0017,162,194,119.7119341563786,9.54690292808607,105.95189003436425,17.727153775038243,109.57986508845616,16.993577516374057
LS21323_DJI_0004_clump_0001,212,206,135.7751572327044,11.12711342968897,146.8640776699029,12.388308934610064,142.193808389815,22.516022671048457
LS21323_DJI_0004_clump_0002,206,210,125.68122977346279,26.911703949971162,137.25714285714287,34.49141468648148,145.13684697179843,36.43011468912442
LS21323_DJI_0004_clump_0003,206,204,153.30906148867314,12.900664119257659,161.29084967320262,10.426542671878966,155.4539310869979,21.62993973724711
LS21323_DJI_0004_clump_0004,358,318,145.61731843575419,34.788637107055266,143.51572327044025,14.203162909584929,148.2862074417624,31.161943151057915
LS21323_DJI_0004_clump_0005,146,164,101.68721461187215,33.83414247863309,102.7459349593496,20.412376778608298,114.23943367858337,46.155693860998404
LS21323_DJI_0004_clump_0006,102,222,103.90522875816994,10.578102248035417,91.21171171171171,15.040443408054294,95.14220102455397,29.96678084317155
LS21323_DJI_0004_clump_0007,120,216,146.58055555555555,17.18087307709821,136.72993827160494,27.027584765712874,142.3466435185185,31.732172991732572
LS21323_DJI_0005_clump_0001,154,222,138.53679653679654,15.583796283991278,126.96246246246247,13.88812342667853,137.21519246519247,32.684726177383794
LS21323_DJI_0005_clump_0002,162,176,135.74074074074073,10.483902350976047,128.50189393939394,15.363893999804738,130.35823512906848,22.749169786031597
LS21323_DJI_0005_clump_0003,300,232,117.43333333333334,15.473023119107799,114.13505747126437,21.511668331907323,122.35915229885057,30.026509185702956
LS21323_DJI_0005_clump_0004,162,154,112.06378600823045,10.054892819754915,100.05194805194805,23.397411391892422,118.52677569344236,47.27017135871265
LS21323_DJI_0005_clump_0005,204,160,135.0261437908497,10.479015889793272,122.6125,11.074550875016708,140.02408088235293,32.59136811340177
LS21323_DJI_0005_clump_0006,144,198,140.78703703703704,15.536278288982286,141.26599326599327,21.049403690617805,139.41109006734007,31.18633729286614
LS21323_DJI_0005_clump_0007,316,96,112.5464135021097,24.45871743254437,117.23958333333333,22.336479003433674,133.0446993670886,44.147270809179936
LS21323_DJI_0005_clump_0008,290,136,123.5919540229885,10.356304297891686,122.15441176470588,20.247807437511064,112.75060851926978,30.71947890201009
LS21323_DJI_0005_clump_0009,152,222,153.69956140350877,12.220187488896128,136.6036036036036,16.290777036208876,139.6852181128497,38.50413341795582
LS21323_DJI_0005_clump_0010,188,238,123.08687943262412,11.841053038922253,113.47478991596638,11.583338646502666,138.90606561773646,37.8141032577705
LS21323_DJI_0005_clump_0011,246,198,122.77371273712737,29.049607370558466,111.35016835016835,37.74326628424344,138.78605157263695,37.09540972617365
LS21323_DJI_0005_clump_0012,230,280,115.74057971014493,14.84092284759556,110.725,10.36083944705346,120.7013354037267,24.546111216574584
LS21323_DJI_0005_clump_0013,152,268,114.15789473684211,11.865532382736214,111.00373134328358,13.565988932946192,108.64895915161037,17.825467806768664
LS21323_DJI_0005_clump_0014,144,240,116.73379629629629,15.15585592836867,115.31388888888888,10.552847240273271,109.4328125,21.17196318700029
LS21323_DJI_0005_clump_0015,188,160,136.70212765957447,20.051350631309887,131.69583333333333,17.345123694347706,140.17270611702128,35.764777945348996
LS21323_DJI_0005_clump_0016,196,256,123.18197278911565,12.327691914743724,123.16666666666667,16.42496617618706,116.93126195790816,19.457991652379476
LS21323_DJI_0005_clump_0017,172,278,129.29651162790697,15.990890922097586,135.31294964028777,35.011565751670624,131.60613602141544,35.63427271597136
LS21323_DJI_0006_clump_0001,172,188,137.8468992248062,11.810921978494838,132.47517730496455,14.383837245489577,135.0887555665512,25.964650535337306
LS21323_DJI_0006_clump_0002,230,234,157.15072463768115,14.65112770243851,116.9928774928775,43.82042097012803,146.18381642512077,39.12313230918056
LS21323_DJI_0006_clump_0003,188,250,118.99468085106383,19.59976226709173,115.328,20.891252140549163,115.55474468085106,28.18225001283389
LS21323_DJI_0006_clump_0004,256,172,123.20572916666667,30.944327840655752,139.79263565891472,18.166692199087947,141.4487191133721,37.89240674238005
LS21323_DJI_0007_clump_0001,222,228,129.487987987988,13.314762061133516,118.73976608187135,18.870119266047922,136.2299865655129,33.83032116262907
LS21323_DJI_0007_clump_0002,196,280,128.17176870748298,14.657753825597217,140.27738095238095,17.64195385998196,122.14808673469388,21.609256727052973
LS21323_DJI_0007_clump_0003,170,256,125.7921568627451,11.10413883511512,122.72265625,10.901065851298025,126.19455422794118,29.587415547199868
LS21323_DJI_0007_clump_0004,248,274,128.58467741935485,18.148086532425804,140.6934306569343,20.849674696405252,127.52522368730868,27.757029977804194
LS21323_DJI_0007_clump_0005,170,204,144.97254901960784,11.690922881288051,132.1045751633987,13.604191683281353,145.54051326412917,37.06624461910484
LS21323_DJI_0007_clump_0006,196,192,145.91836734693877,16.31503634503724,142.19444444444446,16.729165225312425,152.50364051870747,34.12895848579114
LS21323_DJI_0007_clump_0007,162,164,124.6872427983539,10.363403172686557,123.6869918699187,16.137732683199502,118.8442110809997,19.505521757050346
LS21323_DJI_0007_clump_0008,204,166,118.91993464052288,6.793773196397872,127.26907630522088,11.366648156402421,128.93662886841483,18.225537314897316
LS21323_DJI_0007_clump_0009,222,92,140.42942942942943,11.350092483065895,122.96739130434783,12.15848044855505,132.5870054837446,27.62561967591371
LS21323_DJI_0008_clump_0001,162,232,100.20164609053498,10.018115143840278,100.49425287356321,10.639871405344232,90.68175287356321,16.062625587863288
LS21323_DJI_0008_clump_0002,248,148,105.63037634408602,8.097304202154943,103.11936936936937,5.569922732134141,116.10614646904969,29.34667147331498
LS21323_DJI_0008_clump_0003,120,234,95.225,11.48897720522685,106.7008547008547,11.311264302640414,103.29864672364673,30.820633529505784
LS21323_DJI_0008_clump_0004,290,240,105.76206896551724,32.90469952593087,81.69166666666666,18.435230086259658,101.21538793103448,29.681420065751983
